empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.banking,extra.ebikes,extra.last_updated,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.station_id,extra.uid,extra.payment
15,1,8efa43d5891ff1395473ee31d5e68893,48.835405,2.358218,Hôpital - Campo-Formio,2023-12-21T06:28:08.008000Z,True,1,1703138443,True,1,1,16,210751059,13011,['creditcard']
19,7,09fcbaba5b8ced5aa1274bc916bbd394,48.84158856925782,2.348489575088024,Jean Calvin - Tournefort,2023-12-21T06:28:02.012000Z,False,2,1703138784,False,1,1,28,34235349,5014,
10,44,1722c16f52594c47eb638bbbe0ec5832,48.847623027364,2.2735664248466,Place de Barcelone - Mirabeau,2023-12-21T06:28:11.926000Z,True,1,1703138680,True,1,1,55,82550543,16030,['creditcard']
20,10,f243408e44546f722ad1853f24aef8a4,48.8071937956922,2.353984415531159,Charles Gide - Fort de Bicêtre ,2023-12-21T06:28:10.740000Z,False,7,1703138393,False,1,1,30,478385490,42701,
18,5,32dd10305074ec74c0e7ce64b5fd652a,48.861451061938,2.40568600595,Jardin de l'Hospice Debrousse,2023-12-21T06:28:06.912000Z,False,5,1703138268,False,1,1,23,102326776,20108,
36,0,0fbd3a42b0cf5ff3784587fccb2fce8b,48.857341095470794,2.2644165538827115,Place de la Porte de Passy,2023-12-21T06:28:11.254000Z,True,0,1703138459,True,1,1,36,213686749,16020,['creditcard']
18,25,d17c296a25c00ec40e0484bce176a7ac,48.88216401466375,2.319852970540523,Batignolles - Beudant,2023-12-21T06:28:09.938000Z,True,18,1703138734,True,1,1,44,82375611,8020,['creditcard']
23,17,1229ece6cf88c7694f38e7e25391f8b3,48.8429,2.38474,Daumesnil - Hébrard,2023-12-21T06:28:10.015000Z,False,6,1703138800,False,1,1,40,66491395,12043,
35,9,6e83356e72ec27f60425108ea2b3e4a4,48.919141953558054,2.362065576016903,Stade de France,2023-12-21T06:28:05.653000Z,True,8,1703138717,True,1,1,44,1057203651,32011,['creditcard']
37,9,840dc27c20c767b61d76312b8a1ef2a8,48.883546851533254,2.3131933808326726,Place de Lévis,2023-12-21T06:28:05.896000Z,True,2,1703138679,True,1,1,48,443402852,17015,['creditcard']
10,19,beaded3da98c05e08bf446be561cf36d,48.893400392981874,2.336266523912805,Damrémont - Ordener,2023-12-21T06:28:10.780000Z,True,11,1703138679,True,1,1,30,82572699,18027,['creditcard']
24,6,b4845c36f3202ce8846cd06f5d41a4ec,48.853883541328,2.3493797332048,Arcole - Notre-Dame,2023-12-21T06:28:11.770000Z,True,2,1703138406,True,1,1,31,84958519,4001,['creditcard']
28,5,48a885c9c855ac9ef03a8e2407409b9a,48.84858321339195,2.299347817897797,La Motte-Picquet - Grenelle,2023-12-21T06:28:10.701000Z,True,4,1703138235,True,1,1,34,38192,15023,['creditcard']
10,16,f5441fb978906cf4e4e16d3c9b9e52b0,48.89826887103676,2.2849336266517644,Président Wilson - Baudin,2023-12-21T06:28:11.181000Z,False,7,1703138783,False,1,1,28,458086607,23003,
50,9,6b1f2d11be3fd0eca68fa47eb2831604,48.8562118,2.3532536,Lobau - Hôtel de Ville,2023-12-21T06:28:11.319000Z,True,4,1703138489,True,1,1,60,98187918,4016,['creditcard']
27,5,ae19b34618a3fe183c8987800afefb47,48.88652251096166,2.173960916697979,Colmar - Victor Hugo,2023-12-21T06:28:00.862000Z,True,5,1703138358,True,1,1,32,109609241,25001,['creditcard']
22,1,38cc0c77f1211698c3fb1fad4b0ee1cc,48.858445054262,2.3903981223891,Charonne - Pierre Bayle,2023-12-21T06:28:11.669000Z,False,1,1703138815,False,1,1,23,7247,11021,
24,5,fd3ca06e005a7ac79505c7d7e9be9b19,48.822032,2.329095,Jourdan - Monticelli,2023-12-21T06:28:11.738000Z,False,3,1703138694,False,1,1,30,653081846,14131,
16,15,ca67ed1b26a3596c4e67f315de9be200,48.89035817610495,2.3036286234855656,Porte d'Asnières,2023-12-21T06:28:03.026000Z,True,3,1703138762,True,1,1,36,213689815,17023,['creditcard']
27,10,8638c76ee8353c7c01b72719a2ce1f5d,48.8963765,2.3743692,Gaston Tessier - Rosa Parks RER,2023-12-21T06:28:07.484000Z,False,7,1703138819,False,1,1,37,443198808,19108,
2,20,aabf3d9583cf2b62ca800af45c693cdd,48.787482746521306,2.3976725712418556,Camille Groult - Guy Môquet,2023-12-21T06:28:03.804000Z,False,3,1703138666,False,1,1,22,620676855,44007,
0,16,92d391e2afb5c9539d9db74ce21c73ea,48.82529858840266,2.3945679143071175,Place de l'Europe - Quai de Bercy,2023-12-21T06:28:11.189000Z,False,8,1703138792,False,1,1,17,1062238429,42209,
15,5,c1be70586e7d87c836721011257c2288,48.855258115391,2.3473754525185,Marché aux fleurs,2023-12-21T06:28:11.108000Z,True,2,1703138615,True,1,1,23,6294,4002,['creditcard']
29,3,ade3b4c149b48a2911da9b1764c7c9d5,48.84373446877937,2.333428381875887,Assas - Luxembourg,2023-12-21T06:28:04.776000Z,False,1,1703138717,False,1,1,33,13191324,6008,
30,4,455106e10bb1146af83d25bf1053e8b6,48.87521088779225,2.2842781618237495,Pergolèse - Malakoff,2023-12-21T06:28:11.728000Z,False,1,1703138794,False,1,1,38,85015750,16002,
3,25,316cdd58d583799d82bec21aafd308f4,48.81031545,2.34395871,Raspail - Albert Schweitzer,2023-12-21T06:28:03.184000Z,False,9,1703138783,False,1,1,28,102745622,42501,
14,6,9f3a09ad148ebe8863d60cb3a983c2cd,48.91042343752563,2.399576604366303,Jean Jaurès - Ouvrières Pivéreuses,2023-12-21T06:28:11.982000Z,False,5,1703138669,False,1,1,20,213999554,35001,
10,34,56202ee0049e59d8a16a10cb55a336e5,48.846276485475,2.2786368057131767,Javel - André Citroën,2023-12-21T06:28:09.821000Z,True,5,1703138530,True,1,1,45,27415246,15064,['creditcard']
4,17,196e938e72f45121d12361b60e85e2b2,48.822203,2.350422,Brillat-Savarin - Küss,2023-12-21T06:28:10.520000Z,False,8,1703138485,False,1,1,21,213677219,13109,
24,20,49eacfd3001e615471d246f6a67d8361,48.895809485802886,2.327897409164145,Jacques Kellner - Saint-Ouen,2023-12-21T06:28:11.198000Z,True,10,1703138770,True,1,1,45,82565383,17003,['creditcard']
1,42,f483d082583b18fe90277004c3ca2d83,48.845666194202,2.3741452395916,Gare de Lyon - Chalon,2023-12-21T06:28:11.861000Z,True,9,1703138792,True,1,1,45,100925033,12007,['creditcard']
23,7,76692ca3f594c2495dac1aa4f6779829,48.815388220397274,2.320886790760933,Estienne d'Orves - Henri Ginoux,2023-12-21T06:28:00.622000Z,False,7,1703138408,False,1,1,31,85155919,21204,
16,4,680fd30c77c24aee346d88a423352c07,48.89392043619345,2.417981922626496,Benjamin Delessert - Jean Lolive,2023-12-21T06:28:07.724000Z,False,1,1703138369,False,1,1,21,82562496,35007,
12,9,54738e474e518b3188e883f172063315,48.84630274151258,2.4207553267478947,Paris - Laitières,2023-12-21T06:28:05.228000Z,True,4,1703138808,True,1,1,22,369011098,43001,['creditcard']
19,12,2db96468e027a48d90959e98d750f4e3,48.796261,2.317289,Louis Pasteur - Albert Petit,2023-12-21T06:28:01.892000Z,False,10,1703138350,False,1,1,31,102343591,22206,
18,1,88a70760615fb3d48cb3743aadcee98d,48.829899841747384,2.3543356766748507,Bobillot - Paulin Mery,2023-12-21T06:28:09.710000Z,True,0,1703138535,True,1,1,23,27415150,13106,['creditcard']
23,2,a70f7cfe5367e3815e4bb81149e1aeb3,48.81710889740748,2.3193106434955717,Louis Rolland - République,2023-12-21T06:28:04.852000Z,True,2,1703138749,True,1,1,26,653134004,21217,['creditcard']
19,54,23643ae84f6ad7ea1cfdc0a1cee8fbf0,48.84791249714942,2.2843059897422795,Emeriau - Beaugrenelle,2023-12-21T06:28:10.600000Z,True,10,1703138817,True,1,1,74,389788858,15030,['creditcard']
18,12,76d33163a756fcfe97d74ab87ae2722d,48.880883445404436,2.349934279918671,Faubourg Poissonnière - Dunkerque,2023-12-21T06:28:10.767000Z,True,9,1703138732,True,1,1,30,1056947780,9114,['creditcard']
30,11,49b2c45d14f6c80361892f8717bb0b23,48.82764910241,2.3261967301369,Jean Moulin - Place Victor et Hélène Basch,2023-12-21T06:28:11.320000Z,True,7,1703138650,True,1,1,41,101491821,14010,['creditcard']
27,3,19e41481dfc6b6e16aac6e8d6d74205a,48.86795222470859,2.28146318346262,Victor Hugo - La Pompe,2023-12-21T06:28:10.788000Z,True,2,1703138480,True,1,1,41,38327,16011,['creditcard']
2,37,2c38cae4040f4b27d0b24964c3dc07ab,48.815160030060376,2.4592879414558415,Place Mongolfier,2023-12-21T06:28:01.744000Z,False,6,1703138756,False,1,1,39,417088374,44101,
2,17,23e467cac827e599e58243d44f33e90b,48.802936,2.42531,Gare RER - Malleret-Joinville,2023-12-21T06:28:10.743000Z,True,10,1703138738,True,1,1,20,214119792,41403,['creditcard']
2,42,96da5179f064ed57f1281b90b280534e,48.80253358011283,2.4275037646293645,Place de la Gare,2023-12-21T06:28:08.959000Z,True,5,1703138791,True,1,1,46,235197110,47001,['creditcard']
40,8,0c8066f802e05024d4034bd059ffaf4e,48.85742876694898,2.4323049187660217,Paris - Désiré Préaux,2023-12-21T06:28:11.656000Z,False,6,1703138705,False,1,1,49,129145892,31007,
19,7,ddc2bea56baf96f6596fa66d6f3477fc,48.81990914045756,2.3592948541045193,Italie - Jardin Joan Miro,2023-12-21T06:28:07.948000Z,True,5,1703138748,True,1,1,26,439750210,13032,['creditcard']
33,5,3fdac671d966b129a468e5902f9038c1,48.8795079,2.3145456,Monceau - Malesherbes ,2023-12-21T06:28:11.658000Z,True,1,1703138582,True,1,1,38,42720305,8037,['creditcard']
16,11,290a4727283522b5bb39789462a1e241,48.909752,2.239145,Gare de la Garenne-Colombes,2023-12-21T06:28:00.772000Z,True,10,1703138780,True,1,1,28,653205656,27004,['creditcard']
9,11,bf298b99f30ab0a824f23198687396c5,48.8799933,2.2072437,Mairie de quartier du Plateau - Mont-Valérien,2023-12-21T06:28:07.050000Z,False,11,1703138753,False,1,1,20,417623119,92001,
11,24,390f9f30f07014d72c634dd0da33dc7e,48.89819702263572,2.293848017974069,Paul Vaillant-Couturier - Victor Hugo,2023-12-21T06:28:04.356000Z,True,5,1703138726,True,1,1,36,54000632,23004,['creditcard']
8,17,f574fd726a1dbc9e4e0c7646544823b5,48.849726940367326,2.452013790607453,La Jarry - Place Diderot,2023-12-21T06:28:11.737000Z,False,13,1703138670,False,1,1,25,428088564,43010,
14,10,97fad83e776c59db7e19c6f582c9d353,48.806518992199,2.3368880152702,Paul Doumer - Stalingrad,2023-12-21T06:28:11.759000Z,False,5,1703138758,False,1,1,24,214097180,41101,
26,11,d535427d830d3d33b74a3cf93a58846f,48.885927922355044,2.2933450341224675,Berthier - Place Stuart Merril,2023-12-21T06:28:11.818000Z,False,6,1703138730,False,1,1,37,365886904,17107,
9,19,cfe055e9487ef772ec9df134a425b62f,48.8906231,2.3833701,Quai de l'Oise - Aisne,2023-12-21T06:28:03.316000Z,False,11,1703138692,False,1,1,30,468354634,19128,
5,15,26cddaf7c8a7b85d5dbd6eeda7437227,48.885124323627,2.3496962338686,Goutte d'or - Barbès,2023-12-21T06:28:04.040000Z,True,7,1703138686,True,1,1,20,39151458,18007,['creditcard']
32,15,6c2c25c661c7887ad23c1d9888275333,48.854176,2.396093,Charonne - Bureau,2023-12-21T06:28:11.859000Z,False,13,1703138677,False,1,1,47,221036108,11017,
23,12,50db3425c20f335dfb38aaeb26bea527,48.884687354509,2.3441386967897,Square Louise Michel,2023-12-21T06:28:08.488000Z,True,11,1703138801,True,1,1,36,213692227,18006,['creditcard']
26,6,52f441bc9a3d8ab927e5b0ee790da7b6,48.800612,2.262151,Mairie de Clamart,2023-12-21T06:28:10.872000Z,False,6,1703138740,False,1,1,33,653137566,21401,
14,6,09ebbaf37fa0c33bde52bfc2878ffdb2,48.84040868803496,2.3154367133975033,Vaugirard - Pasteur,2023-12-21T06:28:11.207000Z,True,4,1703138701,True,1,1,21,27064639,15004,['creditcard']
8,27,c6e687e00b92295c07001aaaba49d7ee,48.829575,2.369126,Place Jeanne d'Arc,2023-12-21T06:28:06.105000Z,True,13,1703138739,True,1,1,36,213674686,13044,['creditcard']
23,0,3e642ca8658cec670e9bffdc3037b285,48.88229101148092,2.33324121683836,Douai - Pierre Fontaine,2023-12-21T06:28:10.865000Z,True,0,1703138639,True,1,1,25,38522,9027,['creditcard']
20,11,4d337f54a433d8f9184dfc6912a76d5f,48.89611762451474,2.31790903955698,Bessières - Porte de Clichy,2023-12-21T06:28:11.381000Z,False,3,1703138816,False,1,1,33,488889101,17108,
21,4,d8060f9264a7b0468139bf4d5aa99888,48.8712148,2.2937349,Portugais - Kléber,2023-12-21T06:28:11.958000Z,False,3,1703138823,False,1,1,26,488800137,16001,
6,14,45ef886c03e9db48e33ec3f5ac106d92,48.85385,2.470307,Maréchal Joffre - Verdun,2023-12-21T06:28:02.195000Z,False,12,1703138368,False,1,1,20,653083675,41205,
21,2,c52fe310500338d05328a493f9e5a398,48.860134890542,2.3500636965036,Place Edmond Michelet,2023-12-21T06:28:05.051000Z,True,0,1703138652,True,1,1,23,266422568,4020,['creditcard']
26,15,0c516ff9d9c9bfa111ee33a59569b82a,48.847051143113745,2.2953405976295476,Emile Zola - Fondary,2023-12-21T06:28:11.502000Z,True,5,1703138782,True,1,1,42,488872892,15022,['creditcard']
50,2,0cc5ec52dfe84d9b31a734755ec8ba1b,48.87332988919973,2.3352625966072087,Taitbout - La Fayette,2023-12-21T06:28:01.280000Z,True,0,1703138608,True,1,1,53,129016495,9024,['creditcard']
10,18,d9dfac366d625650947c3a8a869a7122,48.91844023641836,2.3935630917549138,Charles Tillon - Cimetière Communal,2023-12-21T06:28:10.910000Z,False,14,1703138814,False,1,1,30,131094294,33015,
30,3,6c75657634e0c4b55692a4d544c776e4,48.8453579,2.3965022,Saint-Mandé - Fabre d'Eglantine,2023-12-21T06:28:00.614000Z,False,3,1703138545,False,1,1,34,488980540,12018,
13,16,97be823ff92c0cb7b610995740202bb7,48.8343883676388,2.2656820714473724,Quai du Président Roosevelt - Pont Aval,2023-12-21T06:28:05.059000Z,False,1,1703138806,False,1,1,30,1057335613,15311,
18,4,f63f97c31243d857e446e313b83ed464,48.896212845581346,2.4094578623771667,Delizy - Louis Nadot,2023-12-21T06:28:07.816000Z,False,3,1703138687,False,1,1,22,491687415,35006,
14,5,29e2c03ea7b6145d916381f724b7e00a,48.860448992575,2.3460162431002,Halles - Bourdonnais,2023-12-21T06:28:08.997000Z,True,3,1703138664,True,1,1,20,1057730786,1021,['creditcard']
7,15,5009a21a0d517a308da8e6ecbff1882f,48.894036161302104,2.2666339203715324,Île de la Jatte,2023-12-21T06:28:03.938000Z,False,4,1703138761,False,1,1,23,653141822,22015,
23,1,4c9385d2c3e2fa4da9a58c2cd3e689f1,48.861419,2.352581,Centre Georges Pompidou,2023-12-21T06:28:00.865000Z,True,1,1703138787,True,1,1,26,210395439,4021,['creditcard']
5,16,10d4ff194fe8eefe472726428fb1a4a8,48.790379518724265,2.3895226791501045,Place Saint-Just,2023-12-21T06:28:10.874000Z,True,6,1703138782,True,1,1,22,653137567,44005,['creditcard']
16,4,da16bdd7ea53e0bde9b8bf4c0c60dc81,48.882193779572,2.3405495658517,Rochechouart - Martyrs,2023-12-21T06:28:08.952000Z,True,4,1703138376,True,1,1,20,39202840,18041,['creditcard']
9,15,87f3af5e6eb0cfb04c00353b83219674,48.94342014002797,2.2487476095557213,Placette Grégoire Collas,2023-12-21T06:28:02.332000Z,False,12,1703138696,False,1,1,25,1057399900,51002,
15,5,59758c9a187ab61d902e4c599986e3c3,48.88294340845,2.3464846238494,Gérando - Rochechouart,2023-12-21T06:28:11.839000Z,False,5,1703138692,False,1,1,21,15212034,9004,
20,5,e50a3bc7a4886a3385468bdd47d039c7,48.8893935006175,2.414379715919495,Candale - Mehul,2023-12-21T06:28:11.019000Z,False,5,1703138710,False,1,1,25,391845823,35012,
33,6,7bfc511f2f3651b01e03a353496cfe16,48.87861855668978,2.4120327830314636,Porte des Lilas - Faidherbe,2023-12-21T06:28:07.040000Z,True,6,1703138811,True,1,1,39,491932748,32601,['creditcard']
18,4,5892755681978b9c0b1bd30a9244628b,48.8547194,2.2952168,Suffren - Champ de Mars,2023-12-21T06:28:11.983000Z,True,2,1703138595,True,1,1,23,559595472,15071,['creditcard']
5,21,c9706431276f04db80843eb7662b7e07,48.77850332486751,2.4006786569952965,Balzac - Olympes de Gouges,2023-12-21T06:28:07.424000Z,True,5,1703138815,True,1,1,28,1057221951,44016,['creditcard']
0,23,2dbb66aade3697bd5614a6e00f82ae4b,48.85120156830401,2.2846536710858345,Square Bela Bartok,2023-12-21T06:28:09.324000Z,True,3,1703138816,True,1,1,24,1057329581,15102,['creditcard']
15,7,e6003dcc9678584e07ab90bd526e48af,48.91502382370325,2.4035281687974925,Fort d'Aubervilliers,2023-12-21T06:28:08.982000Z,True,5,1703138802,True,1,1,22,1057378487,33016,['creditcard']
3,24,d8bf4236d90a1876282f71fcb0768919,48.879612765503616,2.3568402975797653,Gare du Nord - Faubourg Saint-Denis,2023-12-21T06:28:11.478000Z,True,15,1703138815,True,1,1,28,54000556,10151,['creditcard']
14,4,10e5af7e44d2688e0cff84615e47926e,48.853305277595,2.3344654618827,Saint-Germain - Ciseaux,2023-12-21T06:28:11.204000Z,True,1,1703138569,True,1,1,18,82336035,6012,['creditcard']
15,25,0da23258accec40c45150b8020bc43d0,48.850440013405,2.378901366211,Crozatier - Faubourg Saint-Antoine,2023-12-21T06:28:11.099000Z,True,1,1703138690,True,1,1,42,100923502,12005,['creditcard']
20,9,a707f0d55e72ed3ba40835bfded9e5a6,48.897874318180556,2.2182820737361912,Place Nelson Mandela,2023-12-21T06:28:11.424000Z,False,8,1703138817,False,1,1,30,1057405802,92006,
