name,latitude,longitude,free_bikes,empty_slots,total_bikes,usage_percentage
Roger Salengro - Fontainebleau,48.814548697325,2.3611663654447,6,19,25,0.76
Mazagran - Bonne Nouvelle,48.870047123655,2.3511248454452,5,20,25,0.8
Place du Palais Royal,48.862382970647,2.3384822532535,34,33,67,0.4925373134328358
Stade Pershing,48.829107826857,2.4583535268903,13,12,25,0.48
Madeleine Vionnet,48.902519074064,2.3740895837545,6,29,35,0.8285714285714286
Hippodrome Paris-Vincennes,48.82048387758518,2.446271181106568,5,37,42,0.8809523809523809
Ranelagh - Mozart,48.8554439,2.2704418,3,20,23,0.8695652173913043
Suresnes - Muette à Neuilly,48.868570404348,2.266000919044,5,24,29,0.8275862068965517
Place de la Bastille - Bourdon,48.852364355271,2.3681089282036,23,11,34,0.3235294117647059
Mstislav Rostropovitch - Berthier,48.892120821173975,2.309234105050564,1,17,18,0.9444444444444444
Georges V - François 1er,48.87034,2.30082,2,19,21,0.9047619047619048
George V - Christophe Colomb,48.87046,2.30104,3,20,23,0.8695652173913043
Rouget de Lisle,48.764615483395254,2.4071189761161804,20,14,34,0.4117647058823529
Eugène Reisz - Davout,48.85631874632638,2.410396970808506,2,17,19,0.8947368421052632
Tristan Tzara -  Tchaïkovski,48.89490221746837,2.3648490384221077,9,24,33,0.7272727272727273
Chabanais - Petits Champs,48.86703740186721,2.336716018617153,6,23,29,0.7931034482758621
Neuilly - Petit,48.898965361341254,2.29627937078476,2,13,15,0.8666666666666667
Parc Floral du Bel Air,48.839285711865735,2.438560165464878,7,18,25,0.72
Place Jacques et Thérèse Tréfouël,48.842726498317,2.3125657439232,8,35,43,0.813953488372093
Diane Arbus,48.898800717199,2.3524022474885,17,17,34,0.5
Verdun - Pierre et Marie Curie,48.812822398263286,2.3707106709480286,10,15,25,0.6
Jean Jaurès - Paul Lafargue,48.884933177666,2.2484488785267,9,17,26,0.6538461538461539
Saint-Michel - Luxembourg,48.84501507626,2.3394941166043,1,27,28,0.9642857142857143
Hippodrome de Longchamp,48.86413226532,2.239905372262,8,20,28,0.7142857142857143
Berthier - Porte de Clichy,48.894222687781,2.3125872006816,23,1,24,0.041666666666666664
Capitaine Glarner - Gabriel Péri,48.902449900418745,2.3304807533425724,21,4,25,0.16
Garibaldi - Gabriel Péri,48.905741911394,2.3316044208059,15,14,29,0.4827586206896552
Sèvres - Maréchal Juin,48.8324305,2.2292812,15,3,18,0.16666666666666666
Blanqui - Docteur Bauer,48.907735489085,2.3407192814591,21,5,26,0.19230769230769232
Victor Hugo - Paul Eluard,48.819602554907,2.4114319673051,17,15,32,0.46875
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,2,22,24,0.9166666666666666
Hôtel de Ville de Saint-Ouen,48.911380185786,2.3340076807601,31,17,48,0.3541666666666667
Clef des Champs - Albert Dhalenne,48.914938,2.330665,20,7,27,0.25925925925925924
Nungesser - Santé,48.852335,2.448967,15,5,20,0.25
Cartier Bresson - Denis Papin,48.902616,2.397814,7,25,32,0.78125
Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,16,4,20,0.2
Adrien Lesesne - Docteur Bauer,48.90263867304635,2.348248063431511,16,14,30,0.4666666666666667
Henri Barbusse - Bourguignons,48.91301722799713,2.2734212270774417,27,7,34,0.20588235294117646
Marceau Delorme - Pierre Brossolette,48.91206062860357,2.295897423568745,22,6,28,0.21428571428571427
Porte de Clichy - Place des Nations Unies,48.896737263309504,2.310542999196392,30,9,39,0.23076923076923078
Jean Jaurès - Place du Dr Roux,48.927567032796,2.2947337017374,9,25,34,0.7352941176470589
Sèvres Rive Gauche,48.821443218278,2.2150785306885,6,27,33,0.8181818181818182
Place du 17 Octobre,48.91962690034779,2.2978286134199792,10,10,20,0.5
Gardenat Lapostol - Franklin Roosevelt,48.871839,2.222505,5,18,23,0.782608695652174
Séminaire de Conflans - Liberté,48.823194,2.404179,10,14,24,0.5833333333333334
Bichat - Grange aux Belles,48.873688,2.365015,8,20,28,0.7142857142857143
Henri Barbusse - Gabriel Péri,48.801773795836,2.2874166362216,2,24,26,0.9230769230769231
Béranger - Félix Faure,48.80404828621485,2.2848263373723436,6,22,28,0.7857142857142857
Avenir,48.8103438,2.3003776,11,34,45,0.7555555555555555
Guy Môquet - Jean Moulin,48.940931521020836,2.363948999931771,11,19,30,0.6333333333333333
Parc des Pierrettes,48.7973062,2.2909969,5,18,23,0.782608695652174
Hélène et François Missoffe - Emile Borel,48.89990653843488,2.321543991674844,24,3,27,0.1111111111111111
Châteaudun - Place de la Liberté,48.90970830301211,2.2454486480600626,5,21,26,0.8076923076923077
Edouard Poisson - Victor Hugo,48.91118557052621,2.379864752692811,19,8,27,0.2962962962962963
Place de la Paix - Abbé Saint-Pierre,48.86462724459225,2.2047570338469806,4,19,23,0.8260869565217391
Simone Signoret - Paris,48.903600624712865,2.465406596265139,16,12,28,0.42857142857142855
Oberkampf - République,48.86531608707,2.37611478491,8,16,24,0.6666666666666666
Square Alban Satragne,48.875388227727,2.3559567333359,5,23,28,0.8214285714285714
Division Leclerc - Kléber,48.798666226364,2.2833752789972,9,16,25,0.64
Marcel Monge - Marcel Dassault,48.86096384533371,2.2246733296048142,6,39,45,0.8666666666666667
Dora Maar - Nadia Guendouz,48.905452421305,2.3220406472683,18,12,30,0.4
Raspail Barbès,48.8529945,2.4247387,1,27,28,0.9642857142857143
Fontaine du Tertre - Calvaire,48.8702539,2.2187778,2,22,24,0.9166666666666666
Place Jean Mermoz,48.9220937,2.2718348,12,17,29,0.5862068965517241
Vladimir Ilitch Lénine - Andrée Chedid,48.813240124373,2.3319716067039,12,18,30,0.6
Quatre Vents - Carrefour de l'Odéon,48.851751374458864,2.338161695134053,27,9,36,0.25
Paul Valery - Victor Hugo,48.87137406080164,2.2887128591537476,3,32,35,0.9142857142857143
Faubourg St-Antoine - Place de la Nation,48.8487726,2.393606,3,12,15,0.8
Martyrs de Châteaubriant - Jean Grandel,48.951432,2.211214,16,22,38,0.5789473684210527
Bourdon - Pont Morland,48.8478103,2.3659356,47,3,50,0.06
Charles de Gaulle - Rue de l'Alma,48.896620592993,2.252313240191,8,18,26,0.6923076923076923
Gare RER - Général de Gaulle,48.933548439566,2.3064726536317,27,12,39,0.3076923076923077
Résistance - Romain Rolland,48.950873482371,2.2310190077797,10,17,27,0.6296296296296297
Quai de Sèvres - Manufacture Nationale,48.828688,2.22499,20,8,28,0.2857142857142857
Maréchal Leclerc de Hauteclocque - Marché Buzenval,48.858446,2.192077,5,25,30,0.8333333333333334
Place de l'Hôtel de Ville,48.8573314,2.351458,10,3,13,0.23076923076923078
Convention - Campus de Bobigny,48.914920058264,2.4172238067445,14,18,32,0.5625
Pablo Picasso - Maurice Thorez,48.906887812943,2.4489325365198,0,0,0,0.0
Moscou - Edouard Vaillant,48.90755810177,2.4689837335263,9,17,26,0.6538461538461539
Bateliers - Quai de Seine,48.915817585516,2.3239533298594,23,1,24,0.041666666666666664
Georges Pompidou - Verdun,48.875481,2.232443,23,3,26,0.11538461538461539
Place Charles de Gaulle,48.826073335699,2.1894485725692,4,20,24,0.8333333333333334
Stalingrad - Général de Gaulle,48.823450589614,2.4965062363218,21,5,26,0.19230769230769232
Perrault - Place du Louvre,48.860273568996,2.3412468419093,14,13,27,0.48148148148148145
Place Nationale - Château-des-Rentiers,48.829268,2.365212,7,11,18,0.6111111111111112
Payenne - Square George Caïn,48.8578329,2.3622643,8,15,23,0.6521739130434783
Dupont de l'Eure - Gambetta,48.8679385,2.4003649,20,10,30,0.3333333333333333
Lamarck - Saint-Ouen,48.891334555236,2.3272445342326,0,40,40,1.0
Bracion - Périphérique,48.826103771275,2.3004549373748,7,22,29,0.7586206896551724
Porte de Versailles,48.832324016657,2.2875617349045,11,17,28,0.6071428571428571
Gare de Courbevoie,48.8993867,2.2506506,5,29,34,0.8529411764705882
Marceau - Chaillot,48.868834023334,2.2986030816809,8,12,20,0.6
Gare - Aristide Briand,48.821410564722,2.2555950104387,20,9,29,0.3103448275862069
Hispano Suiza - Parc des Bruyères,48.915885074177,2.2682306702811,5,24,29,0.8275862068965517
Docteur Calmette - Martre,48.898969358483,2.3086513252383,20,8,28,0.2857142857142857
Verger - Colonel Guichard,48.816376985087,2.2670380088932,6,23,29,0.7931034482758621
Gabriel Péri - Place de la Libération,48.819828421929,2.3117361743705,0,17,17,1.0
Arsène Houssaye - Friedland,48.874510616163,2.2994716674148,11,17,28,0.6071428571428571
Ménil - Argenteuil,48.925901818305,2.2741496502338,18,0,18,0.0
Jardin Modèle - Pierre Boudou,48.914866710946,2.3057010525935,11,7,18,0.3888888888888889
La Motte-Picquet - La Tour Maubourg,48.856926701847,2.3096215831203,33,7,40,0.175
Pavé des Gardes - Charles Vaillant,48.81168551728,2.2111820107205,0,20,20,1.0
Verdun - Henri Barbusse,48.802056061754,2.3159965061736,3,21,24,0.875
Macdonald - Césaria Evora,48.89883,2.37933,16,50,66,0.7575757575757576
Mariotte - Batignolles,48.884571659595,2.321469503475,7,12,19,0.631578947368421
Decrès - Alésia,48.832200060759,2.3139070151575,3,27,30,0.9
Moulin de Pierre - Abbé Grégoire,48.822036188382,2.2754641655975,6,14,20,0.7
Saint-Germain - Verdun,48.882877330093,2.4331868384644,15,15,30,0.5
Marseillaise - Grenade,48.889371092747,2.3979396821544,18,26,44,0.5909090909090909
Epi d'Or - Chevilly,48.781109786782,2.3549050362061,13,7,20,0.35
Saint Pères - Saint Germain,48.853729675265,2.3300181032703,18,4,22,0.18181818181818182
Charles de Gaulle - Louis Philippe,48.881742142181,2.2710045335353,12,16,28,0.5714285714285714
Mairie de Sceaux,48.778916905132,2.2887361764861,12,21,33,0.6363636363636364
Charlot - Stade Gabriel Voisin,48.827228120536,2.268122527474,18,13,31,0.41935483870967744
Quai du docteur Dervaux,48.910482,2.297998,11,13,24,0.5416666666666666
Stalingrad - Barbara,48.809223658808,2.3175904558822,3,17,20,0.85
Chateau,48.774661399959,2.3135878035462,5,16,21,0.7619047619047619
Cadet - La Fayette,48.875601632672,2.3435704037547,0,0,0,0.0
Chastenet de Géry - Marcel Paul,48.800123,2.3567359,8,17,25,0.68
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,14,6,20,0.3
Jean Bouin - Gouverneur Général Eboué,48.824792734266,2.2651904328524,26,5,31,0.16129032258064516
Dugommier,48.838811048815,2.3896577954292,26,25,51,0.49019607843137253
Batignolles - Abel Truchet,48.883103904582,2.3238347490884,6,22,28,0.7857142857142857
Roland Garros - Jean Bouin,48.809460857173,2.2853198638301,4,24,28,0.8571428571428571
Jean Rostand - Paul Vaillant Couturier,48.908168131015,2.4530601033354,13,27,40,0.675
Marne - Germain Dardan,48.81217465201,2.3035024699104,4,18,22,0.8181818181818182
Gare RER,48.896280181078,2.4581568985227,20,10,30,0.3333333333333333
Place des Arts - Jean Mermoz,48.880391139734,2.1832160452221,5,15,20,0.75
Place Henri Dunant - Gare RER,48.788093281931,2.2909234046643,4,26,30,0.8666666666666667
Théâtre de La Garenne,48.905658361454,2.2345951981176,10,10,20,0.5
Chemin de Bretagne,48.824753068884,2.2588385956052,7,22,29,0.7586206896551724
Clichy - Douai,48.883687771522,2.328063700029,4,27,31,0.8709677419354839
Jean Jaurès - Place de la Libération,48.90617751921,2.4391458057475,12,18,30,0.6
Cimetière de Montrouge,48.821466904768,2.3215785772007,18,38,56,0.6785714285714286
Place Nelson Mandela,48.862453313908,2.1961666225454,4,18,22,0.8181818181818182
Henri Barbusse - Marcel Cachin,48.93742089281,2.3720374971659,30,5,35,0.14285714285714285
Stéphanie Bouvard - Gambetta,48.814548138856,2.4024386957288,18,12,30,0.4
Rouget de L'isle - Watteau,48.778192750803,2.3963020229163,17,3,20,0.15
Mairie,48.87914304162,2.4163350908311,10,9,19,0.47368421052631576
Place André Malraux,48.863925158727,2.3356226831675,3,14,17,0.8235294117647058
Place du 8 Mai 1945,48.871552174017,2.2025031970585,3,15,18,0.8333333333333334
Gare de Sèvres - Ville d'Avray,48.826262366227,2.2001516849313,3,18,21,0.8571428571428571
Gallieni - Lycée Charles Petitet,48.927640283627,2.3308986340524,13,32,45,0.7111111111111111
Stade Gaston Bouillant,48.939958667023,2.3279571813836,24,6,30,0.2
Port - Confluence,48.936093926526,2.3436167797955,13,11,24,0.4583333333333333
Port - Maurice Chevalier,48.832024486306,2.490271087056,21,9,30,0.3
Edouard Pailleron - Bouret,48.880597694071,2.3769494891167,0,27,27,1.0
Charenton - Wattignies,48.836919119234,2.3916775206425,28,9,37,0.24324324324324326
Président Roosevelt - Rouget de Lisle,48.83047518749,2.2616135525345,24,15,39,0.38461538461538464
Jacquard - Ternaux,48.8643671,2.3730935,0,0,0,0.0
Convention - Saint-Charles,48.843156111116,2.2831090539694,0,19,19,1.0
Londres - Europe,48.878618556803,2.3248164693922,4,23,27,0.8518518518518519
Saint-Jacques - Soufflot,48.846280383395,2.3430785379567,0,16,16,1.0
Place Tristan Bernard,48.8794936,2.2915423,14,11,25,0.44
Evariste Galois,48.873087537345,2.4133380129933,0,0,0,0.0
