station,usage,total_bikes,poi_name,poi_distance,poi_address
Toudouze - Clauzel,0.8,20,Buvette Gastrothèque,129.04313475171372,28 rue Henri Monnier
Toudouze - Clauzel,0.8,20,Les Canailles,202.5864000962904,25 Rue La Bruyère
Toudouze - Clauzel,0.8,20,Maison Landemaine,215.7364756336705,26 rue des Martyrs
Toudouze - Clauzel,0.8,20,ASPIC,462.1436778304114,24 rue de la Tour d'Auvergne
Toudouze - Clauzel,0.8,20,le 23 Clauzel,14.966032911599742,23 rue Clauzel
Toudouze - Clauzel,0.8,20,La Table des Anges,277.30095089112405,66 rue des Martyrs
Toudouze - Clauzel,0.8,20,Le Bon Georges,182.62890416933155,45 rue Saint-Georges
Toudouze - Clauzel,0.8,20,Al Caratello,669.2126445115363,5 rue Audran
Toudouze - Clauzel,0.8,20,The Frog & Underground,1005.0451514809832,176 rue Montmartre
Toudouze - Clauzel,0.8,20,Puce,236.57400196392376,1 rue Chaptal
Toudouze - Clauzel,0.8,20,Café Marlette,209.5135564299869,51 rue des Martyrs
Toudouze - Clauzel,0.8,20,Bouillon Pigalle,373.2222144894221,22 boulevard Clichy
Toudouze - Clauzel,0.8,20,Ito Izakaya,221.76189564128333,4 rue Pierre Fontaine
Toudouze - Clauzel,0.8,20,Clasico Argentino,122.6823953807368,22 rue Henry Monnier
Toudouze - Clauzel,0.8,20,The Hardware Société,997.4985077193842,10 rue Lamarck
Toudouze - Clauzel,0.8,20,Sizin,176.35933561797802,47 rue Saint-Georges
Toudouze - Clauzel,0.8,20,Pi Hour,189.1534102036224,32 rue de la Rochefoucauld
Toudouze - Clauzel,0.8,20,Chez Delphine,230.2005028817933,48 rue Saint-Georges
