company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
"['RTC Southern Nevada, Inc', 'BCycle, LLC']",/v2/networks/rtc-bike-share,rtc-bike-share,RTC Bike Share,"Las Vegas, NV",US,36.1438,-115.15682,,https://gbfs.bcycle.com/bcycle_rtcbikeshare/gbfs.json,,,
['Leonbici Nextbike Gmbh Y Autobuses Urbanos De Leon S.a. Ute'],/v2/networks/alsa-nextbike-leon,alsa-nextbike-leon,Alsa nextbike León,León,ES,42.5987263,-5.5670959,,,,,
['Strasbourg Mobilités'],/v2/networks/velhop,velhop,Vélhop,Strasbourg,FR,48.583611,7.748056,,,,,
['SMTC 90'],/v2/networks/optymo,optymo,Optymo,Belfort,FR,47.641111,6.849444,,https://belfort-gbfs.klervi.net/gbfs/gbfs.json,,,
['Nextbike GmbH'],/v2/networks/nextbike-prostejov,nextbike-prostejov,nextbike Prostejov,Prostejov,CZ,49.4722,17.1055,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-focsani,nextbike-focsani,nextbike Romania,Focșani,RO,45.6947,27.1851,,,,,
['Nextbike GmbH'],/v2/networks/grad-vukovar,grad-vukovar,Grad Vukovar (Croatia),Vukovar,HR,45.3575,18.9895,,,,,
['Nextbike GmbH'],/v2/networks/grad-zapresic,grad-zapresic,Grad Zaprešić (Croatia),Zaprešić,HR,45.8622,15.8049,,,,,
['Nextbike GmbH'],/v2/networks/santander-brunel,santander-brunel,Santander Cycles - Brunel,Brunel University,GB,51.5463,-0.48048,,,,,
['Nextbike GmbH'],/v2/networks/pobiedziski-rower-gminny-pobiedziska,pobiedziski-rower-gminny-pobiedziska,Pobiedziski Rower Gminny Poland,Pobiedziska,PL,52.4765,17.2866,,,,,
['Nextbike GmbH'],/v2/networks/piotrkowski-rower-miejski-piotrkow-trybunalski,piotrkowski-rower-miejski-piotrkow-trybunalski,Piotrkowski Rower Miejski Poland,Piotrków Trybunalski,PL,51.3975,19.6779,,,,,
['Nextbike GmbH'],/v2/networks/sap-walldorf,sap-walldorf,SAP Walldorf,Walldorf,DE,49.2945,8.62324,,,,,
['Nextbike GmbH'],/v2/networks/opcina-pitomaca,opcina-pitomaca,Općina Pitomača (Croatia),Pitomača,HR,45.9077,17.2622,,,,,
['Nextbike GmbH'],/v2/networks/nomago-ljubljana,nomago-ljubljana,Nomago Bikes - LJUBLJANA,Ljubljana,SI,46.0577,14.5013,,,,,
['Nextbike GmbH'],/v2/networks/system-roweru-gminnego-pielgrzymka,system-roweru-gminnego-pielgrzymka,System Roweru Gminnego Poland,Pielgrzymka,PL,51.1185,15.8153,,,,,
['Nextbike GmbH'],/v2/networks/rvk,rvk,RVK,RVK e-Bike,DE,50.7069,6.87607,,,,,
['Nextbike GmbH'],/v2/networks/wupsi,wupsi,wupsiRad Leverkusen,Leverkusen,DE,51.0732,7.00814,,,,,
['Nextbike GmbH'],/v2/networks/lovesharing-canary-islands-gran-canaria,lovesharing-canary-islands-gran-canaria,Lovesharing (Canary Islands),Gran Canaria,ES,27.8154,-15.5182,,,,,
['Nextbike GmbH'],/v2/networks/lovesharing-canary-islands-lanzarote,lovesharing-canary-islands-lanzarote,Lovesharing (Canary Islands),Lanzarote,ES,29.0491,-13.5729,,,,,
['Nextbike GmbH'],/v2/networks/lovesharing-canary-islands-fuerteventura,lovesharing-canary-islands-fuerteventura,Lovesharing (Canary Islands),Fuerteventura,ES,28.3584,-14.064,,,,,
['VAG Verkehrs-Aktiengesellschaft'],/v2/networks/vagrad,vagrad,VAG_Rad,Nürnberg,DE,49.4487,11.0794,,,,,
['Nextbike GmbH'],/v2/networks/grad-split,grad-split,Grad Split (Croatia),Split,HR,43.5162,16.4637,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-solin,grad-split-solin,Grad Split (Croatia),Solin,HR,43.5441,16.4833,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-opcina-klis,grad-split-opcina-klis,Grad Split (Croatia),Općina Klis,HR,43.5605,16.5269,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-opcina-hrvace,grad-split-opcina-hrvace,Grad Split (Croatia),Općina Hrvace,HR,43.7553,16.6197,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-opcina-otok-dalmatinski,grad-split-opcina-otok-dalmatinski,Grad Split (Croatia),Općina Otok Dalmatinski,HR,43.6889,16.7361,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-sinj,grad-split-sinj,Grad Split (Croatia),Sinj,HR,43.7031,16.6364,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-podstrana,grad-split-podstrana,Grad Split (Croatia),Podstrana,HR,43.4934,16.5598,,,,,
['Nextbike GmbH'],/v2/networks/grad-split-trogir,grad-split-trogir,Grad Split (Croatia),Trogir,HR,43.5234,16.2476,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-ostrava,nextbike-ostrava,nextbike Ostrava,Ostrava,CZ,49.8344,18.2823,,,,,
